########################################
# Annotation Metadata
########################################

Campaign Name: Aramco switches
Video Name: 30-DEC-25-03:00:50:PM_13.avi (trim 1)

URL (Original): http://192.168.18.33:3000/originals/30-DEC-25-03:00:50:PM_13-6953b2b39b7bc2b0b83d5622.avi
URL (Web): http://192.168.18.33:3000/videos/30-DEC-25-03:00:50:PM_13-6953b2b39b7bc2b0b83d5622.mp4

FPS: 20
Total Frames: 4403

Start Frames: 1

End Frames: 2201

Total Frames Trimmed Version: 2201

Export Date: 2026-02-09T13:02:42.863Z

########################################
# Annotations (Format: FrameNo:{verb},{noun},{state},{visibility})
########################################

147:bg,bg,N/A,N/A
148:bg,bg,N/A,N/A
149:bg,bg,N/A,N/A
150:bg,bg,N/A,N/A
151:bg,bg,N/A,N/A
152:bg,bg,N/A,N/A
153:bg,bg,N/A,N/A
154:bg,bg,N/A,N/A
155:bg,bg,N/A,N/A
156:bg,bg,N/A,N/A
157:bg,bg,N/A,N/A
158:bg,bg,N/A,N/A
159:bg,bg,N/A,N/A
160:bg,bg,N/A,N/A
161:bg,bg,N/A,N/A
162:bg,bg,N/A,N/A
163:bg,bg,N/A,N/A
164:bg,bg,N/A,N/A
165:bg,bg,N/A,N/A
166:bg,bg,N/A,N/A
167:bg,bg,N/A,N/A
168:bg,bg,N/A,N/A
169:bg,bg,N/A,N/A
170:bg,bg,N/A,N/A
171:bg,bg,N/A,N/A
172:bg,bg,N/A,N/A
173:bg,bg,N/A,N/A
174:bg,bg,N/A,N/A
175:bg,bg,N/A,N/A
176:bg,bg,N/A,N/A
177:bg,bg,N/A,N/A
178:bg,bg,N/A,N/A
179:bg,bg,N/A,N/A
180:bg,bg,N/A,N/A
181:bg,bg,N/A,N/A
182:bg,bg,N/A,N/A
183:bg,bg,N/A,N/A
184:bg,bg,N/A,N/A
185:bg,bg,N/A,N/A
186:bg,bg,N/A,N/A
187:bg,bg,N/A,N/A
188:bg,bg,N/A,N/A
189:bg,bg,N/A,N/A
190:bg,bg,N/A,N/A
191:bg,bg,N/A,N/A
192:bg,bg,N/A,N/A
193:bg,bg,N/A,N/A
194:bg,bg,N/A,N/A
195:bg,bg,N/A,N/A
196:bg,bg,N/A,N/A
197:bg,bg,N/A,N/A
198:bg,bg,N/A,N/A
199:bg,bg,N/A,N/A
200:bg,bg,N/A,N/A
201:bg,bg,N/A,N/A
202:bg,bg,N/A,N/A
203:bg,bg,N/A,N/A
204:bg,bg,N/A,N/A
205:bg,bg,N/A,N/A
206:bg,bg,N/A,N/A
207:bg,bg,N/A,N/A
208:bg,bg,N/A,N/A
209:bg,bg,N/A,N/A
210:bg,bg,N/A,N/A
211:bg,bg,N/A,N/A
212:bg,bg,N/A,N/A
213:bg,bg,N/A,N/A
214:bg,bg,N/A,N/A
215:bg,bg,N/A,N/A
216:bg,bg,N/A,N/A
217:bg,bg,N/A,N/A
218:bg,bg,N/A,N/A
219:bg,bg,N/A,N/A
220:bg,bg,N/A,N/A
221:bg,bg,N/A,N/A
222:bg,bg,N/A,N/A
223:bg,bg,N/A,N/A
224:bg,bg,N/A,N/A
225:bg,bg,N/A,N/A
226:bg,bg,N/A,N/A
227:bg,bg,N/A,N/A
228:bg,bg,N/A,N/A
229:bg,bg,N/A,N/A
230:bg,bg,N/A,N/A
231:bg,bg,N/A,N/A
232:bg,bg,N/A,N/A
233:bg,bg,N/A,N/A
234:bg,bg,N/A,N/A
235:bg,bg,N/A,N/A
236:bg,bg,N/A,N/A
237:bg,bg,N/A,N/A
238:bg,bg,N/A,N/A
239:bg,bg,N/A,N/A
240:bg,bg,N/A,N/A
241:bg,bg,N/A,N/A
242:bg,bg,N/A,N/A
243:bg,bg,N/A,N/A
244:bg,bg,N/A,N/A
245:bg,bg,N/A,N/A
246:bg,bg,N/A,N/A
247:bg,bg,N/A,N/A
248:bg,bg,N/A,N/A
249:bg,bg,N/A,N/A
250:bg,bg,N/A,N/A
251:bg,bg,N/A,N/A
252:bg,bg,N/A,N/A
253:bg,bg,N/A,N/A
254:bg,bg,N/A,N/A
255:bg,bg,N/A,N/A
256:bg,bg,N/A,N/A
257:bg,bg,N/A,N/A
258:bg,bg,N/A,N/A
259:bg,bg,N/A,N/A
260:bg,bg,N/A,N/A
261:bg,bg,N/A,N/A
262:bg,bg,N/A,N/A
263:bg,bg,N/A,N/A
264:bg,bg,N/A,N/A
265:bg,bg,N/A,N/A
266:bg,bg,N/A,N/A
267:bg,bg,N/A,N/A
268:bg,bg,N/A,N/A
269:bg,bg,N/A,N/A
270:bg,bg,N/A,N/A
271:bg,bg,N/A,N/A
272:bg,bg,N/A,N/A
273:bg,bg,N/A,N/A
274:bg,bg,N/A,N/A
275:bg,bg,N/A,N/A
276:bg,bg,N/A,N/A
277:bg,bg,N/A,N/A
278:bg,bg,N/A,N/A
279:bg,bg,N/A,N/A
280:bg,bg,N/A,N/A
281:bg,bg,N/A,N/A
282:bg,bg,N/A,N/A
283:bg,bg,N/A,N/A
284:bg,bg,N/A,N/A
285:bg,bg,N/A,N/A
286:bg,bg,N/A,N/A
287:bg,bg,N/A,N/A
288:bg,bg,N/A,N/A
289:bg,bg,N/A,N/A
290:bg,bg,N/A,N/A
291:bg,bg,N/A,N/A
292:bg,bg,N/A,N/A
293:bg,bg,N/A,N/A
294:bg,bg,N/A,N/A
295:bg,bg,N/A,N/A
296:bg,bg,N/A,N/A
297:bg,bg,N/A,N/A
298:bg,bg,N/A,N/A
299:bg,bg,N/A,N/A
300:bg,bg,N/A,N/A
301:bg,bg,N/A,N/A
302:bg,bg,N/A,N/A
303:bg,bg,N/A,N/A
304:bg,bg,N/A,N/A
305:bg,bg,N/A,N/A
306:bg,bg,N/A,N/A
307:bg,bg,N/A,N/A
308:bg,bg,N/A,N/A
309:bg,bg,N/A,N/A
310:bg,bg,N/A,N/A
311:bg,bg,N/A,N/A
312:bg,bg,N/A,N/A
313:bg,bg,N/A,N/A
314:bg,bg,N/A,N/A
315:bg,bg,N/A,N/A
316:bg,bg,N/A,N/A
317:bg,bg,N/A,N/A
318:bg,bg,N/A,N/A
319:bg,bg,N/A,N/A
320:bg,bg,N/A,N/A
321:bg,bg,N/A,N/A
322:bg,bg,N/A,N/A
323:bg,bg,N/A,N/A
324:bg,bg,N/A,N/A
325:bg,bg,N/A,N/A
326:bg,bg,N/A,N/A
327:bg,bg,N/A,N/A
328:bg,bg,N/A,N/A
329:bg,bg,N/A,N/A
330:bg,bg,N/A,N/A
331:bg,bg,N/A,N/A
332:bg,bg,N/A,N/A
333:bg,bg,N/A,N/A
334:bg,bg,N/A,N/A
335:bg,bg,N/A,N/A
336:bg,bg,N/A,N/A
337:bg,bg,N/A,N/A
338:bg,bg,N/A,N/A
339:bg,bg,N/A,N/A
340:bg,bg,N/A,N/A
341:bg,bg,N/A,N/A
342:bg,bg,N/A,N/A
343:bg,bg,N/A,N/A
344:bg,bg,N/A,N/A
345:bg,bg,N/A,N/A
346:bg,bg,N/A,N/A
347:bg,bg,N/A,N/A
348:bg,bg,N/A,N/A
349:bg,bg,N/A,N/A
350:bg,bg,N/A,N/A
351:bg,bg,N/A,N/A
352:bg,bg,N/A,N/A
353:bg,bg,N/A,N/A
354:bg,bg,N/A,N/A
355:bg,bg,N/A,N/A
356:bg,bg,N/A,N/A
357:bg,bg,N/A,N/A
358:bg,bg,N/A,N/A
359:bg,bg,N/A,N/A
360:bg,bg,N/A,N/A
361:bg,bg,N/A,N/A
362:bg,bg,N/A,N/A
363:bg,bg,N/A,N/A
364:bg,bg,N/A,N/A
365:bg,bg,N/A,N/A
366:bg,bg,N/A,N/A
367:bg,bg,N/A,N/A
368:bg,bg,N/A,N/A
369:bg,bg,N/A,N/A
370:bg,bg,N/A,N/A
371:bg,bg,N/A,N/A
372:bg,bg,N/A,N/A
373:bg,bg,N/A,N/A
374:bg,bg,N/A,N/A
375:bg,bg,N/A,N/A
376:bg,bg,N/A,N/A
377:bg,bg,N/A,N/A
378:bg,bg,N/A,N/A
379:bg,bg,N/A,N/A
380:bg,bg,N/A,N/A
381:bg,bg,N/A,N/A
382:bg,bg,N/A,N/A
383:bg,bg,N/A,N/A
384:bg,bg,N/A,N/A
385:bg,bg,N/A,N/A
386:bg,bg,N/A,N/A
387:bg,bg,N/A,N/A
388:bg,bg,N/A,N/A
389:bg,bg,N/A,N/A
390:bg,bg,N/A,N/A
391:bg,bg,N/A,N/A
392:bg,bg,N/A,N/A
393:bg,bg,N/A,N/A
394:bg,bg,N/A,N/A
395:bg,bg,N/A,N/A
396:bg,bg,N/A,N/A
397:bg,bg,N/A,N/A
398:bg,bg,N/A,N/A
399:bg,bg,N/A,N/A
400:bg,bg,N/A,N/A
401:bg,bg,N/A,N/A
402:bg,bg,N/A,N/A
403:bg,bg,N/A,N/A
404:bg,bg,N/A,N/A
405:bg,bg,N/A,N/A
406:bg,bg,N/A,N/A
407:bg,bg,N/A,N/A
408:bg,bg,N/A,N/A
409:bg,bg,N/A,N/A
410:bg,bg,N/A,N/A
411:bg,bg,N/A,N/A
412:bg,bg,N/A,N/A
413:bg,bg,N/A,N/A
414:bg,bg,N/A,N/A
415:bg,bg,N/A,N/A
416:bg,bg,N/A,N/A
417:bg,bg,N/A,N/A
418:bg,bg,N/A,N/A
419:bg,bg,N/A,N/A
420:bg,bg,N/A,N/A
421:bg,bg,N/A,N/A
422:bg,bg,N/A,N/A
423:bg,bg,N/A,N/A
424:bg,bg,N/A,N/A
425:bg,bg,N/A,N/A
426:bg,bg,N/A,N/A
427:bg,bg,N/A,N/A
428:bg,bg,N/A,N/A
429:bg,bg,N/A,N/A
430:bg,bg,N/A,N/A
431:bg,bg,N/A,N/A
432:bg,bg,N/A,N/A
433:bg,bg,N/A,N/A
434:bg,bg,N/A,N/A
435:bg,bg,N/A,N/A
436:bg,bg,N/A,N/A
437:bg,bg,N/A,N/A
438:bg,bg,N/A,N/A
439:bg,bg,N/A,N/A
440:bg,bg,N/A,N/A
441:bg,bg,N/A,N/A
442:bg,bg,N/A,N/A
443:bg,bg,N/A,N/A
444:bg,bg,N/A,N/A
445:bg,bg,N/A,N/A
446:bg,bg,N/A,N/A
447:bg,bg,N/A,N/A
448:bg,bg,N/A,N/A
449:bg,bg,N/A,N/A
450:bg,bg,N/A,N/A
451:bg,bg,N/A,N/A
452:bg,bg,N/A,N/A
453:bg,bg,N/A,N/A
454:bg,bg,N/A,N/A
455:bg,bg,N/A,N/A
456:bg,bg,N/A,N/A
457:bg,bg,N/A,N/A
458:bg,bg,N/A,N/A
459:bg,bg,N/A,N/A
460:bg,bg,N/A,N/A
461:bg,bg,N/A,N/A
462:bg,bg,N/A,N/A
463:bg,bg,N/A,N/A
464:bg,bg,N/A,N/A
465:bg,bg,N/A,N/A
466:bg,bg,N/A,N/A
467:bg,bg,N/A,N/A
468:bg,bg,N/A,N/A
469:bg,bg,N/A,N/A
470:bg,bg,N/A,N/A
471:bg,bg,N/A,N/A
472:bg,bg,N/A,N/A
473:bg,bg,N/A,N/A
474:bg,bg,N/A,N/A
475:bg,bg,N/A,N/A
476:bg,bg,N/A,N/A
477:bg,bg,N/A,N/A
478:bg,bg,N/A,N/A
479:bg,bg,N/A,N/A
480:bg,bg,N/A,N/A
481:bg,bg,N/A,N/A
482:bg,bg,N/A,N/A
483:bg,bg,N/A,N/A
484:bg,bg,N/A,N/A
485:bg,bg,N/A,N/A
486:bg,bg,N/A,N/A
487:bg,bg,N/A,N/A
488:bg,bg,N/A,N/A
489:bg,bg,N/A,N/A
490:bg,bg,N/A,N/A
491:bg,bg,N/A,N/A
492:bg,bg,N/A,N/A
493:bg,bg,N/A,N/A
494:bg,bg,N/A,N/A
495:bg,bg,N/A,N/A
496:bg,bg,N/A,N/A
497:bg,bg,N/A,N/A
498:bg,bg,N/A,N/A
499:bg,bg,N/A,N/A
500:bg,bg,N/A,N/A
501:bg,bg,N/A,N/A
502:bg,bg,N/A,N/A
503:bg,bg,N/A,N/A
504:bg,bg,N/A,N/A
505:bg,bg,N/A,N/A
506:bg,bg,N/A,N/A
507:bg,bg,N/A,N/A
508:bg,bg,N/A,N/A
509:bg,bg,N/A,N/A
510:bg,bg,N/A,N/A
511:bg,bg,N/A,N/A
512:bg,bg,N/A,N/A
513:bg,bg,N/A,N/A
514:bg,bg,N/A,N/A
515:bg,bg,N/A,N/A
516:bg,bg,N/A,N/A
517:bg,bg,N/A,N/A
518:bg,bg,N/A,N/A
519:bg,bg,N/A,N/A
520:bg,bg,N/A,N/A
521:bg,bg,N/A,N/A
522:bg,bg,N/A,N/A
523:bg,bg,N/A,N/A
524:bg,bg,N/A,N/A
525:bg,bg,N/A,N/A
526:bg,bg,N/A,N/A
527:bg,bg,N/A,N/A
528:bg,bg,N/A,N/A
529:bg,bg,N/A,N/A
530:bg,bg,N/A,N/A
531:bg,bg,N/A,N/A
532:bg,bg,N/A,N/A
533:bg,bg,N/A,N/A
534:bg,bg,N/A,N/A
535:bg,bg,N/A,N/A
536:bg,bg,N/A,N/A
537:bg,bg,N/A,N/A
538:bg,bg,N/A,N/A
539:bg,bg,N/A,N/A
540:bg,bg,N/A,N/A
541:bg,bg,N/A,N/A
542:bg,bg,N/A,N/A
543:bg,bg,N/A,N/A
544:bg,bg,N/A,N/A
545:bg,bg,N/A,N/A
546:bg,bg,N/A,N/A
547:bg,bg,N/A,N/A
548:bg,bg,N/A,N/A
549:bg,bg,N/A,N/A
550:bg,bg,N/A,N/A
551:bg,bg,N/A,N/A
552:bg,bg,N/A,N/A
553:bg,bg,N/A,N/A
554:bg,bg,N/A,N/A
555:bg,bg,N/A,N/A
556:bg,bg,N/A,N/A
557:bg,bg,N/A,N/A
558:bg,bg,N/A,N/A
559:bg,bg,N/A,N/A
560:bg,bg,N/A,N/A
561:bg,bg,N/A,N/A
562:bg,bg,N/A,N/A
563:bg,bg,N/A,N/A
564:bg,bg,N/A,N/A
565:bg,bg,N/A,N/A
566:bg,bg,N/A,N/A
567:bg,bg,N/A,N/A
568:bg,bg,N/A,N/A
569:bg,bg,N/A,N/A
570:bg,bg,N/A,N/A
571:bg,bg,N/A,N/A
572:bg,bg,N/A,N/A
573:bg,bg,N/A,N/A
574:bg,bg,N/A,N/A
575:bg,bg,N/A,N/A
576:bg,bg,N/A,N/A
577:bg,bg,N/A,N/A
578:bg,bg,N/A,N/A
579:bg,bg,N/A,N/A
580:bg,bg,N/A,N/A
581:bg,bg,N/A,N/A
582:bg,bg,N/A,N/A
583:bg,bg,N/A,N/A
584:bg,bg,N/A,N/A
585:bg,bg,N/A,N/A
586:bg,bg,N/A,N/A
587:bg,bg,N/A,N/A
588:bg,bg,N/A,N/A
589:bg,bg,N/A,N/A
590:bg,bg,N/A,N/A
591:bg,bg,N/A,N/A
592:bg,bg,N/A,N/A
593:bg,bg,N/A,N/A
594:bg,bg,N/A,N/A
595:bg,bg,N/A,N/A
596:bg,bg,N/A,N/A
597:bg,bg,N/A,N/A
598:bg,bg,N/A,N/A
599:bg,bg,N/A,N/A
600:bg,bg,N/A,N/A
601:bg,bg,N/A,N/A
602:bg,bg,N/A,N/A
603:bg,bg,N/A,N/A
604:bg,bg,N/A,N/A
605:bg,bg,N/A,N/A
606:bg,bg,N/A,N/A
607:bg,bg,N/A,N/A
608:bg,bg,N/A,N/A
609:bg,bg,N/A,N/A
610:bg,bg,N/A,N/A
611:bg,bg,N/A,N/A
612:bg,bg,N/A,N/A
613:bg,bg,N/A,N/A
614:bg,bg,N/A,N/A
615:bg,bg,N/A,N/A
616:bg,bg,N/A,N/A
617:bg,bg,N/A,N/A
618:bg,bg,N/A,N/A
619:bg,bg,N/A,N/A
620:bg,bg,N/A,N/A
621:bg,bg,N/A,N/A
622:bg,bg,N/A,N/A
623:bg,bg,N/A,N/A
624:bg,bg,N/A,N/A
625:bg,bg,N/A,N/A
626:bg,bg,N/A,N/A
627:bg,bg,N/A,N/A
628:bg,bg,N/A,N/A
629:bg,bg,N/A,N/A
630:bg,bg,N/A,N/A
631:bg,bg,N/A,N/A
632:bg,bg,N/A,N/A
633:bg,bg,N/A,N/A
634:bg,bg,N/A,N/A
635:bg,bg,N/A,N/A
636:bg,bg,N/A,N/A
637:bg,bg,N/A,N/A
638:bg,bg,N/A,N/A
639:bg,bg,N/A,N/A
640:bg,bg,N/A,N/A
641:bg,bg,N/A,N/A
642:bg,bg,N/A,N/A
643:bg,bg,N/A,N/A
644:bg,bg,N/A,N/A
645:bg,bg,N/A,N/A
646:bg,bg,N/A,N/A
647:bg,bg,N/A,N/A
648:bg,bg,N/A,N/A
649:bg,bg,N/A,N/A
650:bg,bg,N/A,N/A
651:bg,bg,N/A,N/A
652:bg,bg,N/A,N/A
653:bg,bg,N/A,N/A
654:bg,bg,N/A,N/A
655:bg,bg,N/A,N/A
656:bg,bg,N/A,N/A
657:bg,bg,N/A,N/A
658:bg,bg,N/A,N/A
659:bg,bg,N/A,N/A
660:bg,bg,N/A,N/A
661:bg,bg,N/A,N/A
662:bg,bg,N/A,N/A
663:bg,bg,N/A,N/A
664:bg,bg,N/A,N/A
665:bg,bg,N/A,N/A
666:bg,bg,N/A,N/A
667:bg,bg,N/A,N/A
668:bg,bg,N/A,N/A
669:bg,bg,N/A,N/A
670:bg,bg,N/A,N/A
671:bg,bg,N/A,N/A
672:bg,bg,N/A,N/A
673:bg,bg,N/A,N/A
674:bg,bg,N/A,N/A
675:bg,bg,N/A,N/A
676:bg,bg,N/A,N/A
677:bg,bg,N/A,N/A
678:bg,bg,N/A,N/A
679:bg,bg,N/A,N/A
680:bg,bg,N/A,N/A
681:bg,bg,N/A,N/A
682:bg,bg,N/A,N/A
683:bg,bg,N/A,N/A
684:bg,bg,N/A,N/A
685:bg,bg,N/A,N/A
686:bg,bg,N/A,N/A
687:bg,bg,N/A,N/A
688:bg,bg,N/A,N/A
689:bg,bg,N/A,N/A
690:bg,bg,N/A,N/A
691:bg,bg,N/A,N/A
692:bg,bg,N/A,N/A
693:bg,bg,N/A,N/A
694:bg,bg,N/A,N/A
695:bg,bg,N/A,N/A
696:bg,bg,N/A,N/A
697:bg,bg,N/A,N/A
698:bg,bg,N/A,N/A
699:bg,bg,N/A,N/A
700:bg,bg,N/A,N/A
701:bg,bg,N/A,N/A
702:bg,bg,N/A,N/A
703:bg,bg,N/A,N/A
704:bg,bg,N/A,N/A
705:bg,bg,N/A,N/A
706:bg,bg,N/A,N/A
707:bg,bg,N/A,N/A
708:bg,bg,N/A,N/A
709:bg,bg,N/A,N/A
710:bg,bg,N/A,N/A
711:bg,bg,N/A,N/A
712:bg,bg,N/A,N/A
713:bg,bg,N/A,N/A
714:bg,bg,N/A,N/A
715:bg,bg,N/A,N/A
716:bg,bg,N/A,N/A
717:bg,bg,N/A,N/A
718:bg,bg,N/A,N/A
719:bg,bg,N/A,N/A
720:bg,bg,N/A,N/A
721:bg,bg,N/A,N/A
722:bg,bg,N/A,N/A
723:bg,bg,N/A,N/A
724:bg,bg,N/A,N/A
725:bg,bg,N/A,N/A
726:bg,bg,N/A,N/A
727:bg,bg,N/A,N/A
728:bg,bg,N/A,N/A
729:bg,bg,N/A,N/A
730:bg,bg,N/A,N/A
731:bg,bg,N/A,N/A
732:bg,bg,N/A,N/A
733:bg,bg,N/A,N/A
734:bg,bg,N/A,N/A
735:bg,bg,N/A,N/A
736:bg,bg,N/A,N/A
737:bg,bg,N/A,N/A
738:bg,bg,N/A,N/A
739:bg,bg,N/A,N/A
740:bg,bg,N/A,N/A
741:bg,bg,N/A,N/A
742:bg,bg,N/A,N/A
743:bg,bg,N/A,N/A
744:bg,bg,N/A,N/A
745:bg,bg,N/A,N/A
746:bg,bg,N/A,N/A
747:bg,bg,N/A,N/A
748:bg,bg,N/A,N/A
749:bg,bg,N/A,N/A
750:bg,bg,N/A,N/A
751:bg,bg,N/A,N/A
752:bg,bg,N/A,N/A
753:bg,bg,N/A,N/A
754:bg,bg,N/A,N/A
755:bg,bg,N/A,N/A
756:bg,bg,N/A,N/A
757:bg,bg,N/A,N/A
758:bg,bg,N/A,N/A
759:bg,bg,N/A,N/A
760:bg,bg,N/A,N/A
761:bg,bg,N/A,N/A
762:bg,bg,N/A,N/A
763:bg,bg,N/A,N/A
764:bg,bg,N/A,N/A
765:bg,bg,N/A,N/A
766:bg,bg,N/A,N/A
767:bg,bg,N/A,N/A
768:bg,bg,N/A,N/A
769:bg,bg,N/A,N/A
770:bg,bg,N/A,N/A
771:bg,bg,N/A,N/A
772:bg,bg,N/A,N/A
773:bg,bg,N/A,N/A
774:bg,bg,N/A,N/A
775:bg,bg,N/A,N/A
776:bg,bg,N/A,N/A
777:bg,bg,N/A,N/A
778:bg,bg,N/A,N/A
779:bg,bg,N/A,N/A
780:bg,bg,N/A,N/A
781:bg,bg,N/A,N/A
782:bg,bg,N/A,N/A
783:bg,bg,N/A,N/A
784:bg,bg,N/A,N/A
785:bg,bg,N/A,N/A
786:bg,bg,N/A,N/A
787:bg,bg,N/A,N/A
788:bg,bg,N/A,N/A
789:bg,bg,N/A,N/A
790:bg,bg,N/A,N/A
791:bg,bg,N/A,N/A
792:bg,bg,N/A,N/A
793:bg,bg,N/A,N/A
794:bg,bg,N/A,N/A
795:bg,bg,N/A,N/A
796:bg,bg,N/A,N/A
797:bg,bg,N/A,N/A
798:bg,bg,N/A,N/A
799:bg,bg,N/A,N/A
800:bg,bg,N/A,N/A
801:bg,bg,N/A,N/A
802:bg,bg,N/A,N/A
803:bg,bg,N/A,N/A
804:bg,bg,N/A,N/A
805:bg,bg,N/A,N/A
806:bg,bg,N/A,N/A
807:bg,bg,N/A,N/A
808:bg,bg,N/A,N/A
809:bg,bg,N/A,N/A
810:bg,bg,N/A,N/A
811:bg,bg,N/A,N/A
812:bg,bg,N/A,N/A
813:bg,bg,N/A,N/A
814:bg,bg,N/A,N/A
815:bg,bg,N/A,N/A
816:bg,bg,N/A,N/A
817:bg,bg,N/A,N/A
818:bg,bg,N/A,N/A
819:bg,bg,N/A,N/A
820:bg,bg,N/A,N/A
821:bg,bg,N/A,N/A
822:bg,bg,N/A,N/A
823:bg,bg,N/A,N/A
824:bg,bg,N/A,N/A
825:bg,bg,N/A,N/A
826:bg,bg,N/A,N/A
827:bg,bg,N/A,N/A
828:bg,bg,N/A,N/A
829:bg,bg,N/A,N/A
830:bg,bg,N/A,N/A
831:bg,bg,N/A,N/A
832:bg,bg,N/A,N/A
833:bg,bg,N/A,N/A
834:bg,bg,N/A,N/A
835:bg,bg,N/A,N/A
836:bg,bg,N/A,N/A
